no,tanggal,jam,cuaca,suhu,,
262,11,22,2,7,,
263,11,23,2,7,,
264,11,0,2,7,,
265,12,1,2,7,,
266,12,2,2,9,,
267,12,3,2,8,,
268,12,4,2,8,,
269,12,5,2,7,,
270,12,6,2,7,,
271,12,7,2,7,,
272,12,8,2,7,,
273,12,9,2,8,,
274,12,10,2,9,,
275,12,11,2,8,,
276,12,12,2,8,,
277,12,13,2,9,,
278,12,14,2,9,,
279,12,15,2,9,,
280,12,16,2,9,,
281,12,17,2,9,,
282,12,18,2,8,,
283,12,19,2,8,,
284,12,20,2,8,,
285,12,21,2,8,,
286,12,22,2,8,,
287,12,23,2,8,,
288,12,0,2,7,,
289,13,1,2,7,,
290,13,2,2,6,,
291,13,3,2,6,,
292,13,4,2,6,,
293,13,5,2,6,,
294,13,6,1,6,,
295,13,7,2,6,,
296,13,8,1,5,,
297,13,9,1,6,,
298,13,10,2,8,,
299,13,11,2,9,,
300,13,12,2,11,,
301,13,13,2,12,,
302,13,14,2,13,,
303,13,15,2,13,,
304,13,16,2,13,,
305,13,17,2,11,,
306,13,18,2,10,,
307,13,19,2,8,,
308,13,20,2,6,,
309,13,21,2,5,,
310,13,22,1,4,,
311,13,23,1,1,,
312,13,0,1,0,,
313,14,1,1,-1,,
314,14,2,1,-1,,
315,14,3,1,-1,,
316,14,4,1,-2,,
317,14,5,1,-2,,
318,14,6,1,-1,,
319,14,7,1,0,,
320,14,8,1,1,,
321,14,9,1,1,,
322,14,10,1,4,,
323,14,11,1,4,,
324,14,12,1,5,,
325,14,13,1,7,,
326,14,14,1,8,,
327,14,15,1,10,,
328,14,16,1,12,,
329,14,17,2,10,,
330,14,18,1,6,,
331,14,19,1,4,,
332,14,20,1,2,,
333,14,21,2,2,,
334,14,22,2,0,,
335,14,23,1,-1,,
336,14,0,1,0,,
337,15,1,1,-1,,
338,15,2,1,-1,,
339,15,3,1,-1,,
340,15,4,1,-1,,
341,15,5,1,-2,,
342,15,6,1,-2,,
343,15,7,2,-2,,
344,15,8,2,-1,,
345,15,9,2,0,,
346,15,10,2,6,,
347,15,11,2,10,,
348,15,12,2,12,,
349,15,13,2,14,,
350,15,14,2,15,,
351,15,15,2,16,,
352,15,16,2,15,,
353,15,17,2,13,,
354,15,18,2,12,,
355,15,19,1,12,,
356,15,20,2,11,,
357,15,21,2,10,,
358,15,22,2,10,,
359,15,23,2,10,,
360,15,24,2,9,,
361,16,1,2,8,,
362,16,2,1,8,,
363,16,3,1,8,,
364,16,4,2,8,,
365,16,5,2,8,,
366,16,6,2,8,,
367,16,7,2,8,,
368,16,8,2,9,,
369,16,9,1,9,,
370,16,10,1,10,,
371,16,11,2,11,,
372,16,12,2,12,,
373,16,13,2,12,,
374,16,14,2,12,,
375,16,15,2,12,,
376,16,16,2,13,,
377,16,17,2,13,,
378,16,18,2,12,,
379,16,19,2,12,,
380,16,20,2,11,,
381,16,21,2,10,,
382,16,22,2,10,,
383,16,23,2,11,,
384,16,24,2,11,,
385,17,1,2,11,,
386,17,2,2,12,,
387,17,3,2,12,,
388,17,4,2,12,,
389,17,5,2,12,,
390,17,6,2,12,,
391,17,7,2,11,,
392,17,8,2,12,,
393,17,9,2,12,,
394,17,10,2,12,,
395,17,11,2,13,,
396,17,12,2,13,,
397,17,13,2,14,,
398,17,14,2,14,,
399,17,15,2,15,,
400,17,16,2,14,,
401,17,17,2,13,,
402,17,18,2,12,,
